Altium Designer Pick and Place Locations
C:\Users\IndrekKeskküla\AppData\Local\Temp\Releases\Snapshot\1\Assembly Master\PnP\PnP_KR-Df-01-EL-00_vv1_2024-12-20.csv

========================================================================================================================
File Design Information:

Date:       20/12/24
Time:       15:21
Revision:   Not in VersionControl
Variant:    Master
Units used: mm

"Center-X(mm)","Center-Y(mm)","Comment","Description","Designator","Footprint","Layer","Rotation"
"142,7000","20,3000","SS24FL","Diode Schottky 40V 2A Surface Mount SOD-123F","D121","SOD-123F","BottomLayer","90"
"127,7000","20,3000","SS24FL","Diode Schottky 40V 2A Surface Mount SOD-123F","D120","SOD-123F","BottomLayer","90"
"112,6000","26,1000","BAT6404WH6327XTSA1","Diode Array 1 Pair Series Connection Schottky 40V 120mA Surface Mount SC-70, SOT-323","D119","SOT323,_SC70","BottomLayer","180"
"85,7000","25,8000","BAT6404WH6327XTSA1","Diode Array 1 Pair Series Connection Schottky 40V 120mA Surface Mount SC-70, SOT-323","D118","SOT323,_SC70","BottomLayer","180"
"82,8000","25,8000","BAT6404WH6327XTSA1","Diode Array 1 Pair Series Connection Schottky 40V 120mA Surface Mount SC-70, SOT-323","D117","SOT323,_SC70","BottomLayer","180"
"112,5000","20,3000","SS24FL","Diode Schottky 40V 2A Surface Mount SOD-123F","D116","SOD-123F","BottomLayer","90"
"85,7000","20,0000","SS24FL","Diode Schottky 40V 2A Surface Mount SOD-123F","D115","SOD-123F","BottomLayer","90"
"83,0002","20,0000","SS24FL","Diode Schottky 40V 2A Surface Mount SOD-123F","D114","SOD-123F","BottomLayer","90"
"41,3000","26,0000","BAT6404WH6327XTSA1","Diode Array 1 Pair Series Connection Schottky 40V 120mA Surface Mount SC-70, SOT-323","D113","SOT323,_SC70","BottomLayer","0"
"25,3000","26,3000","BAT6404WH6327XTSA1","Diode Array 1 Pair Series Connection Schottky 40V 120mA Surface Mount SC-70, SOT-323","D112","SOT323,_SC70","BottomLayer","0"
"56,0800","25,9000","BAT6404WH6327XTSA1","Diode Array 1 Pair Series Connection Schottky 40V 120mA Surface Mount SC-70, SOT-323","D111","SOT323,_SC70","BottomLayer","0"
"56,3000","20,0000","SS24FL","Diode Schottky 40V 2A Surface Mount SOD-123F","D110","SOD-123F","BottomLayer","90"
"41,4000","20,1000","SS24FL","Diode Schottky 40V 2A Surface Mount SOD-123F","D109","SOD-123F","BottomLayer","90"
"25,3000","20,5000","SS24FL","Diode Schottky 40V 2A Surface Mount SOD-123F","D108","SOD-123F","BottomLayer","90"
"64,1000","78,5000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C513","MLCC_0402_M","TopLayer","270"
"80,0000","73,6000","2.2u","MLCC, 0603, 2.2u, 10%, 16V, X5R","C503","MLCC_0603_M","TopLayer","180"
"78,3000","63,3000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C510","MLCC_0402_M","TopLayer","90"
"72,4000","58,9000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C505","MLCC_0402_M","TopLayer","0"
"67,7000","57,9000","8.2p","MLCC, 0402, 8.2p, 5%, 50V, C0G/NP0","C506","MLCC_0402_M","TopLayer","270"
"78,3000","74,7000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C511","MLCC_0402_M","TopLayer","90"
"60,0000","62,4000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C509","MLCC_0402_M","TopLayer","270"
"36,9500","66,9500","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C500","MLCC_0402_M","BottomLayer","90"
"70,4000","59,3000","8.2p","MLCC, 0402, 8.2p, 5%, 50V, C0G/NP0","C507","MLCC_0402_M","TopLayer","180"
"58,5000","63,4000","2.2u","MLCC, 0603, 2.2u, 10%, 16V, X5R","C502","MLCC_0603_M","TopLayer","0"
"116,2000","68,7000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C424","MLCC_0402_M","TopLayer","90"
"72,4000","58,1000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C504","MLCC_0402_M","TopLayer","0"
"67,3000","59,4000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C508","MLCC_0402_M","TopLayer","0"
"55,1000","62,4000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C501","MLCC_0402_M","BottomLayer","90"
"63,1000","78,4500","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C512","MLCC_0402_M","TopLayer","270"
"138,1000","59,7000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C617","MLCC_0402_M","TopLayer","180"
"123,9000","59,5500","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C616","MLCC_0402_M","TopLayer","180"
"108,1750","59,6000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C615","MLCC_0402_M","TopLayer","180"
"96,3500","55,8000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C614","MLCC_0402_M","TopLayer","180"
"80,8000","55,4500","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C613","MLCC_0402_M","TopLayer","90"
"66,5000","56,1000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C612","MLCC_0402_M","TopLayer","270"
"47,0000","59,5000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C611","MLCC_0402_M","TopLayer","0"
"32,0000","59,6000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C610","MLCC_0402_M","TopLayer","0"
"27,0000","79,4000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C609","MLCC_0402_M","TopLayer","180"
"35,0000","79,3500","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C608","MLCC_0402_M","TopLayer","180"
"91,0000","89,6250","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C607","MLCC_0402_M","TopLayer","90"
"80,0000","89,6250","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C606","MLCC_0402_M","TopLayer","90"
"76,7000","89,6250","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C605","MLCC_0402_M","TopLayer","90"
"68,7000","89,6250","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C604","MLCC_0402_M","TopLayer","90"
"61,7000","89,6250","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C603","MLCC_0402_M","TopLayer","90"
"53,7000","89,6250","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C602","MLCC_0402_M","TopLayer","90"
"47,7000","89,6250","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C601","MLCC_0402_M","TopLayer","90"
"39,7000","89,6250","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C600","MLCC_0402_M","TopLayer","90"
"34,8500","70,9500","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C115","MLCC_0402_M","BottomLayer","0"
"37,4000","70,7500","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C114","MLCC_0402_M","BottomLayer","270"
"142,7000","16,5000","33n","MLCC, 0805, 33n, 10%, 50V, X7R","C113","MLCC_0805_M","BottomLayer","90"
"127,7000","14,2000","33n","MLCC, 0805, 33n, 10%, 50V, X7R","C112","MLCC_0805_M","BottomLayer","90"
"38,3500","68,8000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C111","MLCC_0402_M","BottomLayer","180"
"38,3000","67,9500","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C110","MLCC_0402_M","BottomLayer","180"
"28,4500","70,0500","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C109","MLCC_0402_M","BottomLayer","270"
"112,5000","14,3000","33n","MLCC, 0805, 33n, 10%, 50V, X7R","C108","MLCC_0805_M","BottomLayer","90"
"85,7000","14,2000","33n","MLCC, 0805, 33n, 10%, 50V, X7R","C107","MLCC_0805_M","BottomLayer","90"
"83,0000","14,2000","33n","MLCC, 0805, 33n, 10%, 50V, X7R","C106","MLCC_0805_M","BottomLayer","90"
"27,1500","67,4500","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C105","MLCC_0402_M","BottomLayer","90"
"28,3500","66,9500","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C104","MLCC_0402_M","BottomLayer","90"
"27,2000","69,4000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C103","MLCC_0402_M","BottomLayer","270"
"56,2000","14,3000","33n","MLCC, 0805, 33n, 10%, 50V, X7R","C102","MLCC_0805_M","BottomLayer","90"
"41,4000","14,3000","33n","MLCC, 0805, 33n, 10%, 50V, X7R","C101","MLCC_0805_M","BottomLayer","90"
"26,0000","14,2000","33n","MLCC, 0805, 33n, 10%, 50V, X7R","C100","MLCC_0805_M","BottomLayer","90"
"66,8002","90,0000","1k","Resistor, 0603, 1k, 0.1%, 1/16W","R604","Resistor_0603_M","BottomLayer","270"
"144,6000","49,2000","MCS1802GS-20-Z","Hall Effect-Based Linear Current Sensor IC ±20A 66mV/A 100kHz 8-Pin SOIC T/R","U407","MCS1802GS-20-Z_-Footprint-1","BottomLayer","0"
"134,1000","46,9000","MCS1802GS-20-Z","Hall Effect-Based Linear Current Sensor IC ±20A 66mV/A 100kHz 8-Pin SOIC T/R","U406","MCS1802GS-20-Z_-Footprint-1","BottomLayer","0"
"110,3000","48,8000","MCS1802GS-20-Z","Hall Effect-Based Linear Current Sensor IC ±20A 66mV/A 100kHz 8-Pin SOIC T/R","U405","MCS1802GS-20-Z_-Footprint-1","BottomLayer","0"
"93,7000","49,2000","MCS1802GS-20-Z","Hall Effect-Based Linear Current Sensor IC ±20A 66mV/A 100kHz 8-Pin SOIC T/R","U404","MCS1802GS-20-Z_-Footprint-1","BottomLayer","0"
"76,7000","48,9000","MCS1802GS-20-Z","Hall Effect-Based Linear Current Sensor IC ±20A 66mV/A 100kHz 8-Pin SOIC T/R","U403","MCS1802GS-20-Z_-Footprint-1","BottomLayer","0"
"59,7000","48,9000","MCS1802GS-20-Z","Hall Effect-Based Linear Current Sensor IC ±20A 66mV/A 100kHz 8-Pin SOIC T/R","U402","MCS1802GS-20-Z_-Footprint-1","BottomLayer","0"
"42,2000","49,0000","MCS1802GS-20-Z","Hall Effect-Based Linear Current Sensor IC ±20A 66mV/A 100kHz 8-Pin SOIC T/R","U401","MCS1802GS-20-Z_-Footprint-1","BottomLayer","0"
"25,6000","48,8000","MCS1802GS-20-Z","Hall Effect-Based Linear Current Sensor IC ±20A 66mV/A 100kHz 8-Pin SOIC T/R","U400","MCS1802GS-20-Z_-Footprint-1","BottomLayer","0"
"53,9000","66,9000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C423","MLCC_0402_M","BottomLayer","180"
"149,4000","49,3000","10n","MLCC, 0402, 10n, 10%, 50V, X5R","C422","MLCC_0402_M","BottomLayer","180"
"149,5000","47,5000","1u","MLCC, 0603, 1u, 10%, 10V, X7R","C421","MLCC_0603_M","BottomLayer","180"
"55,0000","65,3000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C420","MLCC_0402_M","BottomLayer","270"
"139,0000","47,2000","10n","MLCC, 0402, 10n, 10%, 50V, X5R","C419","MLCC_0402_M","BottomLayer","180"
"55,8000","64,8000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C418","MLCC_0402_M","BottomLayer","270"
"115,7000","49,4000","10n","MLCC, 0402, 10n, 10%, 50V, X5R","C417","MLCC_0402_M","BottomLayer","180"
"56,4000","63,4500","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C416","MLCC_0402_M","BottomLayer","180"
"98,5000","49,4000","10n","MLCC, 0402, 10n, 10%, 50V, X5R","C415","MLCC_0402_M","BottomLayer","180"
"46,2000","65,4000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C414","MLCC_0402_M","BottomLayer","270"
"81,6000","49,2000","10n","MLCC, 0402, 10n, 10%, 50V, X5R","C413","MLCC_0402_M","BottomLayer","180"
"139,2000","45,2000","1u","MLCC, 0603, 1u, 10%, 10V, X7R","C412","MLCC_0603_M","BottomLayer","180"
"115,7000","47,4000","1u","MLCC, 0603, 1u, 10%, 10V, X7R","C411","MLCC_0603_M","BottomLayer","180"
"98,5000","47,4000","1u","MLCC, 0603, 1u, 10%, 10V, X7R","C410","MLCC_0603_M","BottomLayer","180"
"81,7000","47,2000","1u","MLCC, 0603, 1u, 10%, 10V, X7R","C409","MLCC_0603_M","BottomLayer","180"
"45,0000","64,9000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C408","MLCC_0402_M","BottomLayer","270"
"64,7000","49,2000","10n","MLCC, 0402, 10n, 10%, 50V, X5R","C407","MLCC_0402_M","BottomLayer","180"
"45,0500","63,0000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C406","MLCC_0402_M","BottomLayer","90"
"47,2000","49,3000","10n","MLCC, 0402, 10n, 10%, 50V, X5R","C405","MLCC_0402_M","BottomLayer","180"
"46,2000","62,3000","100n","MLCC, 0402, 100n, 10%, 10V, X5R","C404","MLCC_0402_M","BottomLayer","90"
"31,3250","49,4000","10n","MLCC, 0402, 10n, 10%, 50V, X5R","C403","MLCC_0402_M","BottomLayer","180"
"64,9000","47,2000","1u","MLCC, 0603, 1u, 10%, 10V, X7R","C402","MLCC_0603_M","BottomLayer","180"
"47,4000","47,4000","1u","MLCC, 0603, 1u, 10%, 10V, X7R","C401","MLCC_0603_M","BottomLayer","180"
"30,9000","47,0000","1u","MLCC, 0603, 1u, 10%, 10V, X7R","C400","MLCC_0603_M","BottomLayer","180"
"136,8500","32,6000","10k","Resistor, 0603, 10k, 1%, 1/10W","R131","Resistor_0603_M","BottomLayer","90"
"138,0500","32,6000","100R","Resistor, 0603, 100R, 1%, 1/10W","R130","Resistor_0603_M","BottomLayer","90"
"122,6000","32,8000","10k","Resistor, 0603, 10k, 1%, 1/10W","R129","Resistor_0603_M","BottomLayer","90"
"121,4000","32,8000","100R","Resistor, 0603, 100R, 1%, 1/10W","R128","Resistor_0603_M","BottomLayer","90"
"146,3000","52,7000","TLRZ2BTTD","Res Metal Plate 1206 0 Ohm Sulfur Resistant Pad SMD Automotive T/R","R127","TLRZ2BTTD-Footprint-1","BottomLayer","180"
"133,1000","53,2000","TLRZ2BTTD","Res Metal Plate 1206 0 Ohm Sulfur Resistant Pad SMD Automotive T/R","R125","TLRZ2BTTD-Footprint-1","BottomLayer","180"
"105,2000","32,7000","10k","Resistor, 0603, 10k, 1%, 1/10W","R123","Resistor_0603_M","BottomLayer","90"
"103,9000","32,7000","100R","Resistor, 0603, 100R, 1%, 1/10W","R122","Resistor_0603_M","BottomLayer","90"
"88,3000","32,1000","10k","Resistor, 0603, 10k, 1%, 1/10W","R121","Resistor_0603_M","BottomLayer","90"
"71,5250","32,7500","10k","Resistor, 0603, 10k, 1%, 1/10W","R120","Resistor_0603_M","BottomLayer","90"
"87,1000","32,1000","100R","Resistor, 0603, 100R, 1%, 1/10W","R119","Resistor_0603_M","BottomLayer","90"
"70,3250","32,7500","100R","Resistor, 0603, 100R, 1%, 1/10W","R118","Resistor_0603_M","BottomLayer","90"
"112,4000","52,7000","TLRZ2BTTD","Res Metal Plate 1206 0 Ohm Sulfur Resistant Pad SMD Automotive T/R","R117","TLRZ2BTTD-Footprint-1","BottomLayer","180"
"95,4000","52,7000","TLRZ2BTTD","Res Metal Plate 1206 0 Ohm Sulfur Resistant Pad SMD Automotive T/R","R115","TLRZ2BTTD-Footprint-1","BottomLayer","180"
"78,5000","52,7000","TLRZ2BTTD","Res Metal Plate 1206 0 Ohm Sulfur Resistant Pad SMD Automotive T/R","R113","TLRZ2BTTD-Footprint-1","BottomLayer","180"
"54,1000","32,2000","10k","Resistor, 0603, 10k, 1%, 1/10W","R111","Resistor_0603_M","BottomLayer","90"
"37,0000","32,3000","10k","Resistor, 0603, 10k, 1%, 1/10W","R110","Resistor_0603_M","BottomLayer","90"
"52,9000","32,2000","100R","Resistor, 0603, 100R, 1%, 1/10W","R109","Resistor_0603_M","BottomLayer","90"
"18,4000","32,2000","10k","Resistor, 0603, 10k, 1%, 1/10W","R108","Resistor_0603_M","BottomLayer","90"
"35,8000","32,3000","100R","Resistor, 0603, 100R, 1%, 1/10W","R107","Resistor_0603_M","BottomLayer","90"
"17,2000","32,2000","100R","Resistor, 0603, 100R, 1%, 1/10W","R106","Resistor_0603_M","BottomLayer","90"
"61,6000","52,7000","TLRZ2BTTD","Res Metal Plate 1206 0 Ohm Sulfur Resistant Pad SMD Automotive T/R","R105","TLRZ2BTTD-Footprint-1","BottomLayer","180"
"44,5000","52,7000","TLRZ2BTTD","Res Metal Plate 1206 0 Ohm Sulfur Resistant Pad SMD Automotive T/R","R103","TLRZ2BTTD-Footprint-1","BottomLayer","180"
"27,7000","52,7000","TLRZ2BTTD","Res Metal Plate 1206 0 Ohm Sulfur Resistant Pad SMD Automotive T/R","R101","TLRZ2BTTD-Footprint-1","BottomLayer","180"
"138,2000","35,5000","BSS123","MOSFET N-CH 100V 170MA SOT-23","Q107","SOT-23-3","BottomLayer","90"
"121,2000","35,7000","BSS123","MOSFET N-CH 100V 170MA SOT-23","Q106","SOT-23-3","BottomLayer","90"
"104,2000","35,6000","BSS123","MOSFET N-CH 100V 170MA SOT-23","Q105","SOT-23-3","BottomLayer","90"
"70,1500","35,6500","BSS123","MOSFET N-CH 100V 170MA SOT-23","Q104","SOT-23-3","BottomLayer","90"
"87,2000","35,0000","BSS123","MOSFET N-CH 100V 170MA SOT-23","Q103","SOT-23-3","BottomLayer","90"
"53,0000","35,1000","BSS123","MOSFET N-CH 100V 170MA SOT-23","Q102","SOT-23-3","BottomLayer","90"
"36,1000","35,2000","BSS123","MOSFET N-CH 100V 170MA SOT-23","Q101","SOT-23-3","BottomLayer","90"
"17,4000","35,3000","BSS123","MOSFET N-CH 100V 170MA SOT-23","Q100","SOT-23-3","BottomLayer","90"
"135,1000","34,3000","SMF48A","Diode TVS Single Uni-Dir 48V 200W 2-Pin SOD-123F T/R","D107","FP-SMF48A-MFG","BottomLayer","270"
"124,3000","35,2000","SMF48A","Diode TVS Single Uni-Dir 48V 200W 2-Pin SOD-123F T/R","D106","FP-SMF48A-MFG","BottomLayer","270"
"106,9000","35,1000","SMF48A","Diode TVS Single Uni-Dir 48V 200W 2-Pin SOD-123F T/R","D105","FP-SMF48A-MFG","BottomLayer","270"
"89,9000","35,2000","SMF48A","Diode TVS Single Uni-Dir 48V 200W 2-Pin SOD-123F T/R","D104","FP-SMF48A-MFG","BottomLayer","270"
"73,2250","35,2500","SMF48A","Diode TVS Single Uni-Dir 48V 200W 2-Pin SOD-123F T/R","D103","FP-SMF48A-MFG","BottomLayer","270"
"55,8000","34,8000","SMF48A","Diode TVS Single Uni-Dir 48V 200W 2-Pin SOD-123F T/R","D102","FP-SMF48A-MFG","BottomLayer","270"
"38,9000","35,0000","SMF48A","Diode TVS Single Uni-Dir 48V 200W 2-Pin SOD-123F T/R","D101","FP-SMF48A-MFG","BottomLayer","270"
"20,2000","35,3500","SMF48A","Diode TVS Single Uni-Dir 48V 200W 2-Pin SOD-123F T/R","D100","FP-SMF48A-MFG","BottomLayer","270"
"95,0000","95,2500","1-1825027-1","Switch Push Button OFF (ON) SPST Round Button 0.05A 24VDC Momentary Contact PC Pins Thru-Hole","S607","1-1825027-1-Footprint-1","TopLayer","180"
"85,5000","95,2500","1-1825027-1","Switch Push Button OFF (ON) SPST Round Button 0.05A 24VDC Momentary Contact PC Pins Thru-Hole","S606","1-1825027-1-Footprint-1","TopLayer","180"
"76,0000","95,2500","1-1825027-1","Switch Push Button OFF (ON) SPST Round Button 0.05A 24VDC Momentary Contact PC Pins Thru-Hole","S605","1-1825027-1-Footprint-1","TopLayer","180"
"66,5000","95,2500","1-1825027-1","Switch Push Button OFF (ON) SPST Round Button 0.05A 24VDC Momentary Contact PC Pins Thru-Hole","S604","1-1825027-1-Footprint-1","TopLayer","180"
"57,0000","95,2500","1-1825027-1","Switch Push Button OFF (ON) SPST Round Button 0.05A 24VDC Momentary Contact PC Pins Thru-Hole","S603","1-1825027-1-Footprint-1","TopLayer","180"
"47,5000","95,2500","1-1825027-1","Switch Push Button OFF (ON) SPST Round Button 0.05A 24VDC Momentary Contact PC Pins Thru-Hole","S602","1-1825027-1-Footprint-1","TopLayer","180"
"38,0000","95,2500","1-1825027-1","Switch Push Button OFF (ON) SPST Round Button 0.05A 24VDC Momentary Contact PC Pins Thru-Hole","S601","1-1825027-1-Footprint-1","TopLayer","180"
"28,5000","95,2500","1-1825027-1","Switch Push Button OFF (ON) SPST Round Button 0.05A 24VDC Momentary Contact PC Pins Thru-Hole","S600","1-1825027-1-Footprint-1","TopLayer","180"
"27,0000","82,0000","VLPR-24-1028-2","Light Pipe, Rigid, Vertical, Board Mount, Smd Led, 1.028 In., 4 Mm X 2 Mm Rectangular Face","ME609","VLPR-24-1028-2-Footprint-1","TopLayer","180"
"35,0000","82,0000","VLPR-24-1028-2","Light Pipe, Rigid, Vertical, Board Mount, Smd Led, 1.028 In., 4 Mm X 2 Mm Rectangular Face","ME608","VLPR-24-1028-2-Footprint-1","TopLayer","180"
"137,0000","57,0000","VLPR-24-1028-2","Light Pipe, Rigid, Vertical, Board Mount, Smd Led, 1.028 In., 4 Mm X 2 Mm Rectangular Face","ME607","VLPR-24-1028-2-Footprint-1","TopLayer","180"
"122,0000","57,0000","VLPR-24-1028-2","Light Pipe, Rigid, Vertical, Board Mount, Smd Led, 1.028 In., 4 Mm X 2 Mm Rectangular Face","ME606","VLPR-24-1028-2-Footprint-1","TopLayer","180"
"107,0000","57,0000","VLPR-24-1028-2","Light Pipe, Rigid, Vertical, Board Mount, Smd Led, 1.028 In., 4 Mm X 2 Mm Rectangular Face","ME605","VLPR-24-1028-2-Footprint-1","TopLayer","180"
"92,0000","57,0000","VLPR-24-1028-2","Light Pipe, Rigid, Vertical, Board Mount, Smd Led, 1.028 In., 4 Mm X 2 Mm Rectangular Face","ME604","VLPR-24-1028-2-Footprint-1","TopLayer","180"
"62,0000","57,0000","VLPR-24-1028-2","Light Pipe, Rigid, Vertical, Board Mount, Smd Led, 1.028 In., 4 Mm X 2 Mm Rectangular Face","ME602","VLPR-24-1028-2-Footprint-1","TopLayer","180"
"47,0000","57,0000","VLPR-24-1028-2","Light Pipe, Rigid, Vertical, Board Mount, Smd Led, 1.028 In., 4 Mm X 2 Mm Rectangular Face","ME601","VLPR-24-1028-2-Footprint-1","TopLayer","180"
"32,0000","57,0000","VLPR-24-1028-2","Light Pipe, Rigid, Vertical, Board Mount, Smd Led, 1.028 In., 4 Mm X 2 Mm Rectangular Face","ME600","VLPR-24-1028-2-Footprint-1","TopLayer","180"
"27,0000","82,0000","IN-PI22TAT5R5G5B","RGB LED, Discrete, Serial PWM(1Wire)","D609","IN-PI22TAT5R5G5B","TopLayer","270"
"35,0000","82,0000","IN-PI22TAT5R5G5B","RGB LED, Discrete, Serial PWM(1Wire)","D608","IN-PI22TAT5R5G5B","TopLayer","270"
"137,0000","57,0000","IN-PI22TAT5R5G5B","RGB LED, Discrete, Serial PWM(1Wire)","D607","IN-PI22TAT5R5G5B","TopLayer","90"
"122,0000","57,0000","IN-PI22TAT5R5G5B","RGB LED, Discrete, Serial PWM(1Wire)","D606","IN-PI22TAT5R5G5B","TopLayer","90"
"107,0000","57,0000","IN-PI22TAT5R5G5B","RGB LED, Discrete, Serial PWM(1Wire)","D605","IN-PI22TAT5R5G5B","TopLayer","90"
"92,0000","57,0000","IN-PI22TAT5R5G5B","RGB LED, Discrete, Serial PWM(1Wire)","D604","IN-PI22TAT5R5G5B","TopLayer","90"
"77,0000","57,0000","IN-PI22TAT5R5G5B","RGB LED, Discrete, Serial PWM(1Wire)","D603","IN-PI22TAT5R5G5B","TopLayer","90"
"62,0000","57,0000","IN-PI22TAT5R5G5B","RGB LED, Discrete, Serial PWM(1Wire)","D602","IN-PI22TAT5R5G5B","TopLayer","90"
"47,0000","57,0000","IN-PI22TAT5R5G5B","RGB LED, Discrete, Serial PWM(1Wire)","D601","IN-PI22TAT5R5G5B","TopLayer","90"
"32,0000","57,0000","IN-PI22TAT5R5G5B","RGB LED, Discrete, Serial PWM(1Wire)","D600","IN-PI22TAT5R5G5B","TopLayer","90"
"69,1000","68,6000","STM32H573VIT6","Armï¿½ Cortexï¿½-M33 32-bit MCU+TrusZoneï¿½ + FPU, 360 DMIPS @240MHz, 2 Mbytes Flash, 640 Kbytes RAM, Math accelerators","U500","STM32H573VIT6-Footprint-1","TopLayer","90"
"100,4000","66,6000","LAN8742AI-CZ-TR","Small Footprint RMII 10/100 Ethernet Transceiver with flexPWR Technology","U200","24-VFQFN_Exposed_Pad_based_on_LAN8742AI-CZ-TR","TopLayer","270"
"109,1000","77,3000","HX1260NL","Telecom Transformer 1: 1 0.65Ohm Prim. DCR 0.65Ohm Sec. DCR 16 Terminal Gull Wing SMD","T200","FP-H1102NL-MFG","TopLayer","90"
"163,0000","67,0000","L717TSEH09POL2RM8","Conn D-Subminiature PIN 9 POS 1.37mm Solder ST Thru-Hole 9 Terminal 1 Port","J301","L717TSEH09POL2RM8-Footprint-1","TopLayer","90"
"7,0000","67,0000","L717TSEH09POL2RM8","Conn D-Subminiature PIN 9 POS 1.37mm Solder ST Thru-Hole 9 Terminal 1 Port","J300","L717TSEH09POL2RM8-Footprint-1","TopLayer","90"
"92,0000","5,3000","DGPS2.5R-5.0-02P","Spring loaded terminal block","P104","DGPS2.5R-5.0-02P-Footprint-1","TopLayer","0"
"47,0000","5,3000","DGPS2.5R-5.0-02P","Spring loaded terminal block","P101","DGPS2.5R-5.0-02P-Footprint-1","TopLayer","0"
"122,0000","5,3000","DGPS2.5R-5.0-02P","Spring loaded terminal block","P106","DGPS2.5R-5.0-02P-Footprint-1","TopLayer","0"
"77,0000","5,3000","DGPS2.5R-5.0-02P","Spring loaded terminal block","P103","DGPS2.5R-5.0-02P-Footprint-1","TopLayer","0"
"32,0000","5,3000","DGPS2.5R-5.0-02P","Spring loaded terminal block","P100","DGPS2.5R-5.0-02P-Footprint-1","TopLayer","0"
"137,0000","5,3000","DGPS2.5R-5.0-02P","Spring loaded terminal block","P107","DGPS2.5R-5.0-02P-Footprint-1","TopLayer","0"
"107,0000","5,3000","DGPS2.5R-5.0-02P","Spring loaded terminal block","P105","DGPS2.5R-5.0-02P-Footprint-1","TopLayer","0"
"62,0000","5,3000","DGPS2.5R-5.0-02P","Spring loaded terminal block","P102","DGPS2.5R-5.0-02P-Footprint-1","TopLayer","0"
"93,5000","44,0000","J107F1CS205VDC.45","RELAY GEN PURPOSE SPDT 20A 5V","K104","J107F1CS205VDC.45","TopLayer","90"
"42,5000","44,0000","J107F1CS205VDC.45","RELAY GEN PURPOSE SPDT 20A 5V","K101","J107F1CS205VDC.45","TopLayer","90"
"127,5000","44,0000","J107F1CS205VDC.45","RELAY GEN PURPOSE SPDT 20A 5V","K106","J107F1CS205VDC.45","TopLayer","90"
"76,5000","44,0000","J107F1CS205VDC.45","RELAY GEN PURPOSE SPDT 20A 5V","K103","J107F1CS205VDC.45","TopLayer","90"
"25,5000","44,0000","J107F1CS205VDC.45","RELAY GEN PURPOSE SPDT 20A 5V","K100","J107F1CS205VDC.45","TopLayer","90"
"144,5000","44,0000","J107F1CS205VDC.45","RELAY GEN PURPOSE SPDT 20A 5V","K107","J107F1CS205VDC.45","TopLayer","90"
"110,5000","44,0000","J107F1CS205VDC.45","RELAY GEN PURPOSE SPDT 20A 5V","K105","J107F1CS205VDC.45","TopLayer","90"
"59,5000","44,0000","J107F1CS205VDC.45","RELAY GEN PURPOSE SPDT 20A 5V","K102","J107F1CS205VDC.45","TopLayer","90"
"92,0000","21,0000","MCCQ-122","Fuseholder, Pcb Mount, Mini Blade","F104","MCCQ-122-Footprint-1","TopLayer","270"
"47,0000","21,0000","MCCQ-122","Fuseholder, Pcb Mount, Mini Blade","F101","MCCQ-122-Footprint-1","TopLayer","270"
